measured
4 resistors (A to E): 109.3, 128.7, 129.4, 129.5
in parallel: 30.1

theoretical (on box):
V, A (0.35 limit)
0.5, 0.014
1.0, 0.030
1.5, 0.046
2.0, 0.062
2.5, 0.079
3.0, 0.095
3.5, 0.112
4.0, 0.127
4.5, 0.144
5.0, 0.160
5.5, 0.177
6.0, 0.193
6.5, 0.210
7.0, 0.228
7.5, 0.244
8.0, 0.260
8.5, 0.277
9.0, 0.292
9.5, 0.308
10, 0.326

