device_id,seq,timestamp_us,vbus_raw,iout_raw,iref_raw,i_diff,v_volts,i_amps
534F4C31,29335,268124569,2055,4095,4095,0,1.00342,0.00000
534F4C31,29336,268128739,2061,4095,4095,0,1.00635,0.00000
534F4C31,29337,268133046,2061,4095,4095,0,1.00635,0.00000
534F4C31,29338,268136725,2059,4095,4095,0,1.00537,0.00000
534F4C31,29338,268140832,2060,4095,4095,0,1.00586,0.00000
534F4C31,29338,268143562,2063,4095,4095,0,1.00732,0.00000
534F4C31,29339,268148502,2060,4095,4095,0,1.00586,0.00000
534F4C31,29339,268151833,2056,4095,4095,0,1.00391,0.00000
534F4C31,29339,268156489,2058,4095,4095,0,1.00488,0.00000
534F4C31,29339,268159309,2062,4095,4095,0,1.00684,0.00000
534F4C31,29339,268162048,2059,4095,4095,0,1.00537,0.00000
534F4C31,29340,268165030,2059,4095,4095,0,1.00537,0.00000
534F4C31,29341,268169398,2056,4095,4095,0,1.00391,0.00000
534F4C31,29341,268174979,2055,4095,4095,0,1.00342,0.00000
534F4C31,29341,268177222,2060,4095,4095,0,1.00586,0.00000
534F4C31,29342,268180248,2056,4095,4095,0,1.00391,0.00000
534F4C31,29342,268183343,2064,4095,4095,0,1.00781,0.00000
534F4C31,29342,268187057,2059,4095,4095,0,1.00537,0.00000
534F4C31,29342,268189727,2058,4095,4095,0,1.00488,0.00000
534F4C31,29342,268191795,2056,4095,4095,0,1.00391,0.00000
534F4C31,29342,268194575,2060,4095,4095,0,1.00586,0.00000
534F4C31,29342,268196790,2056,4095,4095,0,1.00391,0.00000
534F4C31,29342,268198737,2061,4095,4095,0,1.00635,0.00000
534F4C31,29342,268200813,2056,4095,4095,0,1.00391,0.00000
534F4C31,29342,268202872,2056,4095,4095,0,1.00391,0.00000
534F4C31,29343,268205060,2059,4095,4095,0,1.00537,0.00000
534F4C31,29344,268208888,2054,4095,4095,0,1.00293,0.00000
534F4C31,29344,268213897,2061,4095,4095,0,1.00635,0.00000
534F4C31,29344,268216260,2057,4095,4095,0,1.00439,0.00000
534F4C31,29344,268218745,2049,4095,4095,0,1.00049,0.00000
534F4C31,29344,268221346,2058,4095,4095,0,1.00488,0.00000
534F4C31,29344,268223971,2058,4095,4095,0,1.00488,0.00000
534F4C31,29344,268226753,2053,4095,4095,0,1.00244,0.00000
534F4C31,29345,268229294,2056,4095,4095,0,1.00391,0.00000
534F4C31,29346,268233146,2061,4095,4095,0,1.00635,0.00000
534F4C31,29347,268235950,2059,4095,4095,0,1.00537,0.00000
534F4C31,29348,268239500,2058,4095,4095,0,1.00488,0.00000
534F4C31,29349,268242850,2060,4095,4095,0,1.00586,0.00000
534F4C31,29350,268246186,2058,4095,4095,0,1.00488,0.00000
534F4C31,29351,268249029,2055,4095,4095,0,1.00342,0.00000
534F4C31,29352,268252821,2058,4095,4095,0,1.00488,0.00000
534F4C31,29353,268256120,2057,4095,4095,0,1.00439,0.00000
534F4C31,29354,268259603,2062,4095,4095,0,1.00684,0.00000
534F4C31,29355,268263156,2061,4095,4095,0,1.00635,0.00000
534F4C31,29356,268267005,2061,4095,4095,0,1.00635,0.00000
534F4C31,29357,268270377,2058,4095,4095,0,1.00488,0.00000
534F4C31,29358,268274296,2050,4095,4095,0,1.00098,0.00000
534F4C31,29359,268277716,2061,4095,4095,0,1.00635,0.00000
534F4C31,29360,268285051,2054,4095,4095,0,1.00293,0.00000
534F4C31,29360,268288870,2061,4095,4095,0,1.00635,0.00000
534F4C31,29361,268292639,2057,4095,4095,0,1.00439,0.00000
534F4C31,29361,268297039,2054,4095,4095,0,1.00293,0.00000
534F4C31,29361,268299347,2055,4095,4095,0,1.00342,0.00000
534F4C31,29361,268303466,2063,4095,4095,0,1.00732,0.00000
534F4C31,29361,268306278,2060,4095,4095,0,1.00586,0.00000
534F4C31,29361,268308432,2057,4095,4095,0,1.00439,0.00000
534F4C31,29361,268311327,2057,4095,4095,0,1.00439,0.00000
534F4C31,29361,268313526,2059,4095,4095,0,1.00537,0.00000
534F4C31,29361,268315561,2054,4095,4095,0,1.00293,0.00000
534F4C31,29361,268317672,2061,4095,4095,0,1.00635,0.00000
534F4C31,29361,268319697,2050,4095,4095,0,1.00098,0.00000
534F4C31,29361,268321798,2060,4095,4095,0,1.00586,0.00000
534F4C31,29362,268323963,2062,4095,4095,0,1.00684,0.00000
534F4C31,29363,268328243,2061,4095,4095,0,1.00635,0.00000
534F4C31,29363,268331833,2056,4095,4095,0,1.00391,0.00000
534F4C31,29363,268336155,2054,4095,4095,0,1.00293,0.00000
534F4C31,29364,268339002,2059,4095,4095,0,1.00537,0.00000
534F4C31,29365,268344155,2062,4095,4095,0,1.00684,0.00000
534F4C31,29366,268347825,2056,4095,4095,0,1.00391,0.00000
534F4C31,29366,268352293,2057,4095,4095,0,1.00439,0.00000
534F4C31,29366,268356069,2062,4095,4095,0,1.00684,0.00000
534F4C31,29367,268358996,2055,4095,4095,0,1.00342,0.00000
534F4C31,29367,268365239,2055,4095,4095,0,1.00342,0.00000
534F4C31,29367,268367408,2061,4095,4095,0,1.00635,0.00000
534F4C31,29367,268369470,2053,4095,4095,0,1.00244,0.00000
534F4C31,29367,268371501,2059,4095,4095,0,1.00537,0.00000
534F4C31,29367,268374275,2058,4095,4095,0,1.00488,0.00000
534F4C31,29367,268376681,2056,4095,4095,0,1.00391,0.00000
